YEAR,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (Megawatthours)
1990,IL,Total Electric Power Industry,Nuclear,"71,887,302"
1990,IL,Total Electric Power Industry,Other Biomass,"154,855"
1990,IL,Total Electric Power Industry,Other Gases,"381,562"
1990,IL,Total Electric Power Industry,Petroleum,"438,584"
1990,IL,Total Electric Power Industry,Wood and Wood Derived Fuels,333
1990,IN,Total Electric Power Industry,Total,"101,417,116"
1990,IN,Total Electric Power Industry,Coal,"96,925,554"
1990,IN,Total Electric Power Industry,Hydroelectric Conventional,"441,021"
1990,IN,Total Electric Power Industry,Natural Gas,"1,470,837"
1990,IN,Total Electric Power Industry,Other Biomass,"37,117"
1990,IN,Total Electric Power Industry,Other Gases,"1,674,549"
1990,IN,Total Electric Power Industry,Petroleum,"868,038"
1990,KS,Total Electric Power Industry,Total,"34,184,857"
1990,KS,Total Electric Power Industry,Coal,"23,720,258"
1990,KS,Total Electric Power Industry,Hydroelectric Conventional,"13,234"
1990,KS,Total Electric Power Industry,Natural Gas,"2,502,807"
1990,KS,Total Electric Power Industry,Nuclear,"7,874,487"
1990,KS,Total Electric Power Industry,Petroleum,"74,026"
1990,KS,Total Electric Power Industry,Wind,45
1990,KY,Total Electric Power Industry,Total,"73,807,286"
1990,KY,Total Electric Power Industry,Coal,"70,500,461"
1990,KY,Total Electric Power Industry,Hydroelectric Conventional,"3,160,383"
1990,KY,Total Electric Power Industry,Natural Gas,"27,796"
1990,KY,Total Electric Power Industry,Petroleum,"118,646"
1990,LA,Total Electric Power Industry,Total,"76,465,630"
1990,LA,Total Electric Power Industry,Coal,"17,856,687"
1990,LA,Total Electric Power Industry,Hydroelectric Conventional,"656,492"
1990,LA,Total Electric Power Industry,Natural Gas,"39,474,866"
1990,LA,Total Electric Power Industry,Nuclear,"14,196,784"
1990,LA,Total Electric Power Industry,Other,"1,292,819"
1990,LA,Total Electric Power Industry,Other Biomass,"91,646"
1990,LA,Total Electric Power Industry,Other Gases,"440,700"
1990,LA,Total Electric Power Industry,Petroleum,"232,098"
1990,LA,Total Electric Power Industry,Wood and Wood Derived Fuels,"2,223,538"
1990,MA,Total Electric Power Industry,Total,"39,811,011"
1990,MA,Total Electric Power Industry,Coal,"11,365,893"
1990,MA,Total Electric Power Industry,Hydroelectric Conventional,"1,249,242"
1990,MA,Total Electric Power Industry,Natural Gas,"6,132,702"
1990,MA,Total Electric Power Industry,Nuclear,"5,069,620"
1990,MA,Total Electric Power Industry,Other Biomass,"1,560,515"
1990,MA,Total Electric Power Industry,Other Gases,830
1990,MA,Total Electric Power Industry,Petroleum,"15,101,792"
1990,MA,Total Electric Power Industry,Pumped Storage,"-669,583"
1990,MA,Total Electric Power Industry,Wood and Wood Derived Fuels,0
1990,MD,Total Electric Power Industry,Total,"33,162,292"
1990,MD,Total Electric Power Industry,Coal,"23,509,862"
1990,MD,Total Electric Power Industry,Hydroelectric Conventional,"2,298,910"
1990,MD,Total Electric Power Industry,Natural Gas,"1,522,443"
1990,MD,Total Electric Power Industry,Nuclear,"1,251,416"
1990,MD,Total Electric Power Industry,Other Biomass,"371,074"
1990,MD,Total Electric Power Industry,Other Gases,"488,197"
1990,MD,Total Electric Power Industry,Petroleum,"3,571,272"
1990,MD,Total Electric Power Industry,Wood and Wood Derived Fuels,"149,118"
1990,ME,Total Electric Power Industry,Total,"15,946,014"
1990,ME,Total Electric Power Industry,Coal,"453,218"
1990,ME,Total Electric Power Industry,Hydroelectric Conventional,"4,090,536"
1990,ME,Total Electric Power Industry,Natural Gas,"50,786"
1990,ME,Total Electric Power Industry,Nuclear,"4,860,727"
1990,ME,Total Electric Power Industry,Other Biomass,"360,798"
1990,ME,Total Electric Power Industry,Petroleum,"3,081,100"
1990,ME,Total Electric Power Industry,Wood and Wood Derived Fuels,"3,048,849"
1990,MI,Total Electric Power Industry,Total,"100,059,737"
1990,MI,Total Electric Power Industry,Coal,"67,066,870"
1990,MI,Total Electric Power Industry,Hydroelectric Conventional,"1,627,918"
1990,MI,Total Electric Power Industry,Natural Gas,"7,837,956"
1990,MI,Total Electric Power Industry,Nuclear,"21,610,500"
1990,MI,Total Electric Power Industry,Other Biomass,"310,842"
1990,MI,Total Electric Power Industry,Other Gases,"340,949"
1990,MI,Total Electric Power Industry,Petroleum,"861,725"
1990,MI,Total Electric Power Industry,Pumped Storage,"-694,986"
1990,MI,Total Electric Power Industry,Wood and Wood Derived Fuels,"1,097,963"
1990,MN,Total Electric Power Industry,Total,"43,070,376"
1990,MN,Total Electric Power Industry,Coal,"28,176,280"
1990,MN,Total Electric Power Industry,Hydroelectric Conventional,"857,046"
1990,MN,Total Electric Power Industry,Natural Gas,"539,839"
1990,MN,Total Electric Power Industry,Nuclear,"12,139,302"
1990,MN,Total Electric Power Industry,Other Biomass,"484,811"
1990,MN,Total Electric Power Industry,Petroleum,"447,814"
1990,MN,Total Electric Power Industry,Wind,266
1990,MN,Total Electric Power Industry,Wood and Wood Derived Fuels,"425,018"
1990,MO,Total Electric Power Industry,Total,"59,352,830"
1990,MO,Total Electric Power Industry,Coal,"48,796,793"
1990,MO,Total Electric Power Industry,Hydroelectric Conventional,"2,192,115"
1990,MO,Total Electric Power Industry,Natural Gas,"312,109"
1990,MO,Total Electric Power Industry,Nuclear,"7,998,039"
1990,MO,Total Electric Power Industry,Petroleum,"90,033"
1990,MO,Total Electric Power Industry,Pumped Storage,"-36,259"
1990,MS,Total Electric Power Industry,Total,"25,201,417"
1990,MS,Total Electric Power Industry,Coal,"9,526,527"
1990,MS,Total Electric Power Industry,Natural Gas,"5,919,664"
1990,MS,Total Electric Power Industry,Nuclear,"7,422,131"
1990,MS,Total Electric Power Industry,Petroleum,"738,971"
1990,MS,Total Electric Power Industry,Wood and Wood Derived Fuels,"1,594,124"
1990,MT,Total Electric Power Industry,Total,"26,029,772"
1990,MT,Total Electric Power Industry,Coal,"15,119,619"
1990,MT,Total Electric Power Industry,Hydroelectric Conventional,"10,716,817"
1990,MT,Total Electric Power Industry,Natural Gas,"55,255"
1990,MT,Total Electric Power Industry,Petroleum,"28,982"
1990,MT,Total Electric Power Industry,Wind,0
1990,MT,Total Electric Power Industry,Wood and Wood Derived Fuels,"109,099"
1990,NC,Total Electric Power Industry,Total,"84,925,767"
1990,NC,Total Electric Power Industry,Coal,"49,821,595"
1990,NC,Total Electric Power Industry,Hydroelectric Conventional,"6,819,427"
1990,NC,Total Electric Power Industry,Natural Gas,"203,465"
1990,NC,Total Electric Power Industry,Nuclear,"25,905,319"
1990,NC,Total Electric Power Industry,Other,"203,406"
1990,NC,Total Electric Power Industry,Other Biomass,"26,270"
1990,NC,Total Electric Power Industry,Petroleum,"328,025"
1990,NC,Total Electric Power Industry,Pumped Storage,"180,046"
1990,NC,Total Electric Power Industry,Wood and Wood Derived Fuels,"1,438,214"
1990,ND,Total Electric Power Industry,Total,"26,993,261"
1990,ND,Total Electric Power Industry,Coal,"25,189,003"
1990,ND,Total Electric Power Industry,Hydroelectric Conventional,"1,711,148"
1990,ND,Total Electric Power Industry,Natural Gas,"51,563"
1990,ND,Total Electric Power Industry,Petroleum,"41,547"
1990,NE,Total Electric Power Industry,Total,"21,633,587"
1990,NE,Total Electric Power Industry,Coal,"12,661,150"
1990,NE,Total Electric Power Industry,Hydroelectric Conventional,"1,140,093"
1990,NE,Total Electric Power Industry,Natural Gas,"308,065"
1990,NE,Total Electric Power Industry,Nuclear,"7,511,298"
1990,NE,Total Electric Power Industry,Petroleum,"12,981"
1990,NH,Total Electric Power Industry,Total,"12,405,196"
1990,NH,Total Electric Power Industry,Coal,"2,959,203"
1990,NH,Total Electric Power Industry,Hydroelectric Conventional,"1,881,087"
1990,NH,Total Electric Power Industry,Natural Gas,0
1990,NH,Total Electric Power Industry,Nuclear,"4,080,691"
1990,NH,Total Electric Power Industry,Other Biomass,"147,524"
1990,NH,Total Electric Power Industry,Petroleum,"2,346,493"
1990,NH,Total Electric Power Industry,Wood and Wood Derived Fuels,"990,198"
1990,NJ,Total Electric Power Industry,Total,"39,968,834"
1990,NJ,Total Electric Power Industry,Coal,"7,057,820"
1990,NJ,Total Electric Power Industry,Hydroelectric Conventional,"31,351"
1990,NJ,Total Electric Power Industry,Natural Gas,"6,914,325"
1990,NJ,Total Electric Power Industry,Nuclear,"23,770,387"
1990,NJ,Total Electric Power Industry,Other Biomass,"246,058"
1990,NJ,Total Electric Power Industry,Petroleum,"2,094,969"
1990,NJ,Total Electric Power Industry,Pumped Storage,"-149,547"
1990,NJ,Total Electric Power Industry,Wood and Wood Derived Fuels,"3,471"
1990,NM,Total Electric Power Industry,Total,"28,820,204"
1990,NM,Total Electric Power Industry,Coal,"25,826,928"
1990,NM,Total Electric Power Industry,Hydroelectric Conventional,"205,435"
1990,NM,Total Electric Power Industry,Natural Gas,"2,738,087"
1990,NM,Total Electric Power Industry,Other Biomass,"14,128"
1990,NM,Total Electric Power Industry,Petroleum,"35,626"
1990,NV,Total Electric Power Industry,Total,"20,050,685"
1990,NV,Total Electric Power Industry,Coal,"15,053,277"
1990,NV,Total Electric Power Industry,Geothermal,"761,192"
1990,NV,Total Electric Power Industry,Hydroelectric Conventional,"1,735,081"
1990,NV,Total Electric Power Industry,Natural Gas,"2,217,027"
1990,NV,Total Electric Power Industry,Petroleum,"284,108"
1990,NY,Total Electric Power Industry,Total,"135,345,692"
1990,NY,Total Electric Power Industry,Coal,"25,913,047"
1990,NY,Total Electric Power Industry,Hydroelectric Conventional,"28,188,222"
1990,NY,Total Electric Power Industry,Natural Gas,"22,724,335"
1990,NY,Total Electric Power Industry,Nuclear,"23,623,356"
1990,NY,Total Electric Power Industry,Other Biomass,"1,568,979"
1990,NY,Total Electric Power Industry,Other Gases,"89,034"
1990,NY,Total Electric Power Industry,Petroleum,"33,884,855"
1990,NY,Total Electric Power Industry,Pumped Storage,"-1,054,095"
1990,NY,Total Electric Power Industry,Wood and Wood Derived Fuels,"407,959"
1990,OH,Total Electric Power Industry,Total,"127,980,527"
1990,OH,Total Electric Power Industry,Coal,"115,832,650"
1990,OH,Total Electric Power Industry,Hydroelectric Conventional,"181,395"
1990,OH,Total Electric Power Industry,Natural Gas,"241,585"
1990,OH,Total Electric Power Industry,Nuclear,"10,663,897"
1990,OH,Total Electric Power Industry,Other Biomass,"304,285"
1990,OH,Total Electric Power Industry,Other Gases,"64,159"
1990,OH,Total Electric Power Industry,Petroleum,"374,481"
1990,OH,Total Electric Power Industry,Wood and Wood Derived Fuels,"318,075"
1990,OK,Total Electric Power Industry,Total,"47,079,131"
1990,OK,Total Electric Power Industry,Coal,"25,655,347"
1990,OK,Total Electric Power Industry,Hydroelectric Conventional,"2,730,594"
1990,OK,Total Electric Power Industry,Natural Gas,"18,236,766"
1990,OK,Total Electric Power Industry,Other Biomass,"1,780"
1990,OK,Total Electric Power Industry,Other Gases,"88,970"
1990,OK,Total Electric Power Industry,Petroleum,"76,947"
1990,OK,Total Electric Power Industry,Pumped Storage,"19,764"
1990,OK,Total Electric Power Industry,Wood and Wood Derived Fuels,"268,963"
1990,OR,Total Electric Power Industry,Total,"50,372,236"
1990,OR,Total Electric Power Industry,Coal,"1,317,344"
1990,OR,Total Electric Power Industry,Hydroelectric Conventional,"41,240,367"
1990,OR,Total Electric Power Industry,Natural Gas,"819,328"
1990,OR,Total Electric Power Industry,Nuclear,"6,073,796"
1990,OR,Total Electric Power Industry,Other Biomass,"90,487"
1990,OR,Total Electric Power Industry,Petroleum,"27,777"
1990,OR,Total Electric Power Industry,Wind,539
1990,OR,Total Electric Power Industry,Wood and Wood Derived Fuels,"802,598"
1990,PA,Total Electric Power Industry,Total,"175,623,311"
1990,PA,Total Electric Power Industry,Coal,"106,677,155"
1990,PA,Total Electric Power Industry,Hydroelectric Conventional,"2,869,192"
1990,PA,Total Electric Power Industry,Natural Gas,"2,833,882"
1990,PA,Total Electric Power Industry,Nuclear,"57,787,051"
1990,PA,Total Electric Power Industry,Other,732
1990,PA,Total Electric Power Industry,Other Biomass,"300,109"
1990,PA,Total Electric Power Industry,Other Gases,"841,604"
1990,PA,Total Electric Power Industry,Petroleum,"4,654,522"
1990,PA,Total Electric Power Industry,Pumped Storage,"-879,249"
1990,PA,Total Electric Power Industry,Wood and Wood Derived Fuels,"538,313"
1990,RI,Total Electric Power Industry,Total,"1,107,316"
1990,RI,Total Electric Power Industry,Coal,0
1990,RI,Total Electric Power Industry,Hydroelectric Conventional,"9,946"
1990,RI,Total Electric Power Industry,Natural Gas,"876,943"
1990,RI,Total Electric Power Industry,Other Biomass,"34,756"
1990,RI,Total Electric Power Industry,Petroleum,"185,671"
1990,SC,Total Electric Power Industry,Total,"71,363,174"
1990,SC,Total Electric Power Industry,Coal,"23,411,867"
1990,SC,Total Electric Power Industry,Hydroelectric Conventional,"3,298,066"
1990,SC,Total Electric Power Industry,Natural Gas,"787,535"
1990,SC,Total Electric Power Industry,Nuclear,"42,880,669"
1990,SC,Total Electric Power Industry,Other Biomass,"49,561"
1990,SC,Total Electric Power Industry,Petroleum,"172,575"
1990,SC,Total Electric Power Industry,Pumped Storage,"-506,389"
1990,SC,Total Electric Power Industry,Wood and Wood Derived Fuels,"1,269,290"
1990,SD,Total Electric Power Industry,Total,"6,427,473"
1990,SD,Total Electric Power Industry,Coal,"2,472,514"
1990,SD,Total Electric Power Industry,Hydroelectric Conventional,"3,934,402"
1990,SD,Total Electric Power Industry,Natural Gas,"12,408"
1990,SD,Total Electric Power Industry,Petroleum,"8,149"
1990,TN,Total Electric Power Industry,Total,"76,187,609"
1990,TN,Total Electric Power Industry,Coal,"51,825,606"
1990,TN,Total Electric Power Industry,Hydroelectric Conventional,"10,015,363"
1990,TN,Total Electric Power Industry,Natural Gas,"224,146"
1990,TN,Total Electric Power Industry,Nuclear,"14,002,591"
1990,TN,Total Electric Power Industry,Other,"45,000"
1990,TN,Total Electric Power Industry,Other Biomass,"44,919"
1990,TN,Total Electric Power Industry,Other Gases,"4,210"
1990,TN,Total Electric Power Industry,Petroleum,"137,067"
1990,TN,Total Electric Power Industry,Pumped Storage,"-478,151"
1990,TN,Total Electric Power Industry,Wood and Wood Derived Fuels,"366,858"
1990,TX,Total Electric Power Industry,Total,"281,559,635"
1990,TX,Total Electric Power Industry,Coal,"120,921,396"
1990,TX,Total Electric Power Industry,Hydroelectric Conventional,"1,793,625"
1990,TX,Total Electric Power Industry,Natural Gas,"136,234,325"
1990,TX,Total Electric Power Industry,Nuclear,"15,859,258"
1990,TX,Total Electric Power Industry,Other,"488,731"
1990,TX,Total Electric Power Industry,Other Biomass,"333,132"
1990,TX,Total Electric Power Industry,Other Gases,"2,997,509"
1990,TX,Total Electric Power Industry,Petroleum,"1,827,803"
1990,TX,Total Electric Power Industry,Solar Thermal and Photovoltaic,385
1990,TX,Total Electric Power Industry,Wood and Wood Derived Fuels,"1,103,471"
1990,US-TOTAL,Total Electric Power Industry,Total,"3,037,827,337"
1990,US-TOTAL,Total Electric Power Industry,Coal,"1,594,011,479"
1990,US-TOTAL,Total Electric Power Industry,Geothermal,"15,434,271"
1990,US-TOTAL,Total Electric Power Industry,Hydroelectric Conventional,"292,865,846"
1990,US-TOTAL,Total Electric Power Industry,Natural Gas,"372,765,154"
1990,US-TOTAL,Total Electric Power Industry,Nuclear,"576,861,678"
1990,US-TOTAL,Total Electric Power Industry,Other,"3,615,663"
1990,US-TOTAL,Total Electric Power Industry,Other Biomass,"13,260,379"
1990,US-TOTAL,Total Electric Power Industry,Other Gases,"10,382,830"
1990,US-TOTAL,Total Electric Power Industry,Petroleum,"126,460,202"
1990,US-TOTAL,Total Electric Power Industry,Pumped Storage,"-3,507,741"
1990,US-TOTAL,Total Electric Power Industry,Solar Thermal and Photovoltaic,"367,087"
1990,US-TOTAL,Total Electric Power Industry,Wind,"2,788,600"
1990,US-TOTAL,Total Electric Power Industry,Wood and Wood Derived Fuels,"32,521,889"
1990,UT,Total Electric Power Industry,Total,"32,563,539"
1990,UT,Total Electric Power Industry,Coal,"31,522,926"
1990,UT,Total Electric Power Industry,Geothermal,"151,825"
1990,UT,Total Electric Power Industry,Hydroelectric Conventional,"508,443"
1990,UT,Total Electric Power Industry,Natural Gas,"146,488"
1990,UT,Total Electric Power Industry,Other Gases,"182,005"
1990,UT,Total Electric Power Industry,Petroleum,"51,852"
1990,UT,Total Electric Power Industry,Pumped Storage,0
1990,VA,Total Electric Power Industry,Total,"52,564,458"
1990,VA,Total Electric Power Industry,Coal,"23,899,902"
1990,VA,Total Electric Power Industry,Hydroelectric Conventional,"1,309,499"
1990,VA,Total Electric Power Industry,Natural Gas,"1,134,809"
1990,VA,Total Electric Power Industry,Nuclear,"23,820,152"
1990,VA,Total Electric Power Industry,Other Biomass,"620,794"
1990,VA,Total Electric Power Industry,Petroleum,"1,438,264"
1990,VA,Total Electric Power Industry,Pumped Storage,"-833,669"
1990,VA,Total Electric Power Industry,Solar Thermal and Photovoltaic,34
1990,VA,Total Electric Power Industry,Wood and Wood Derived Fuels,"1,174,673"
1990,VT,Total Electric Power Industry,Total,"5,164,108"
1990,VT,Total Electric Power Industry,Hydroelectric Conventional,"1,365,031"
1990,VT,Total Electric Power Industry,Natural Gas,"65,281"
1990,VT,Total Electric Power Industry,Nuclear,"3,616,268"
1990,VT,Total Electric Power Industry,Petroleum,"2,543"
1990,VT,Total Electric Power Industry,Wind,0
1990,VT,Total Electric Power Industry,Wood and Wood Derived Fuels,"114,985"
1990,WA,Total Electric Power Industry,Total,"102,071,533"
1990,WA,Total Electric Power Industry,Coal,"7,390,279"
1990,WA,Total Electric Power Industry,Hydroelectric Conventional,"87,466,708"
1990,WA,Total Electric Power Industry,Natural Gas,"288,058"
1990,WA,Total Electric Power Industry,Nuclear,"5,742,027"
1990,WA,Total Electric Power Industry,Other,"3,750"
1990,WA,Total Electric Power Industry,Other Biomass,"6,499"
1990,WA,Total Electric Power Industry,Other Gases,"8,460"
1990,WA,Total Electric Power Industry,Petroleum,"42,981"
1990,WA,Total Electric Power Industry,Pumped Storage,0
1990,WA,Total Electric Power Industry,Wood and Wood Derived Fuels,"1,122,771"
1990,WI,Total Electric Power Industry,Total,"47,768,857"
1990,WI,Total Electric Power Industry,Coal,"33,168,941"
1990,WI,Total Electric Power Industry,Hydroelectric Conventional,"2,014,412"
1990,WI,Total Electric Power Industry,Natural Gas,"347,204"
1990,WI,Total Electric Power Industry,Nuclear,"11,225,913"
1990,WI,Total Electric Power Industry,Other Biomass,"149,770"
1990,WI,Total Electric Power Industry,Petroleum,"179,457"
1990,WI,Total Electric Power Industry,Wind,44
1990,WI,Total Electric Power Industry,Wood and Wood Derived Fuels,"683,116"
1990,WV,Total Electric Power Industry,Total,"79,539,544"
1990,WV,Total Electric Power Industry,Coal,"77,643,366"
1990,WV,Total Electric Power Industry,Hydroelectric Conventional,"1,295,051"
1990,WV,Total Electric Power Industry,Natural Gas,"90,063"
1990,WV,Total Electric Power Industry,Other,"11,207"
1990,WV,Total Electric Power Industry,Other Gases,"174,182"
1990,WV,Total Electric Power Industry,Petroleum,"325,675"
1990,WY,Total Electric Power Industry,Total,"39,974,965"
1990,WY,Total Electric Power Industry,Coal,"38,908,467"
1990,WY,Total Electric Power Industry,Hydroelectric Conventional,"644,613"
1990,WY,Total Electric Power Industry,Natural Gas,"268,202"
1990,WY,Total Electric Power Industry,Other,"45,396"
1990,WY,Total Electric Power Industry,Other Gases,"8,642"
1990,WY,Total Electric Power Industry,Petroleum,"49,205"
1990,WY,Total Electric Power Industry,Wood and Wood Derived Fuels,"50,440"
1991,AK,Total Electric Power Industry,Total,"5,389,828"
1991,AK,Total Electric Power Industry,Coal,"520,514"
1991,AK,Total Electric Power Industry,Hydroelectric Conventional,"896,113"
1991,AK,Total Electric Power Industry,Natural Gas,"3,319,395"
1991,AK,Total Electric Power Industry,Petroleum,"513,425"
1991,AK,Total Electric Power Industry,Wind,0
1991,AK,Total Electric Power Industry,Wood and Wood Derived Fuels,"140,381"
1991,AL,Total Electric Power Industry,Total,"88,786,612"
1991,AL,Total Electric Power Industry,Coal,"58,222,842"
1991,AL,Total Electric Power Industry,Hydroelectric Conventional,"10,757,723"
1991,AL,Total Electric Power Industry,Natural Gas,"1,222,500"
1991,AL,Total Electric Power Industry,Nuclear,"15,874,637"
1991,AL,Total Electric Power Industry,Other Biomass,"31,330"
1991,AL,Total Electric Power Industry,Other Gases,"293,206"
1991,AL,Total Electric Power Industry,Petroleum,"167,824"
