id,entireState,code,name,lastUpdated,dateCreated,state_id,state_name,state_abbreviation,state_is_territory,type_id,type_name,category_id,category_name,sector_id,sector_name
2895,False,IA41F,Ames Electric Department - Commercial Energy Efficiency Rebate Programs,09/19/2023,03/18/2008,19,Iowa,IA,False,88,Rebate Program,1,Financial Incentive,3,Utility
2503,False,WI51F,We Energies - Focus-On-Energy Agriculture Rebate Program,09/19/2023,04/27/2007,57,Wisconsin,WI,False,88,Rebate Program,1,Financial Incentive,3,Utility
22544,True,VT95F,Vermont Replace Your Ride Program,09/19/2023,09/19/2023,52,Vermont,VT,False,88,Rebate Program,1,Financial Incentive,1,State
22251,True,VT68F,Vermont New Electric Vehicle Incentive Program,09/19/2023,06/25/2021,52,Vermont,VT,False,88,Rebate Program,1,Financial Incentive,1,State
22473,True,US70F,Qualified Commercial Clean Vehicle Tax Credit,09/15/2023,08/18/2022,11,Federal,US,True,18,Corporate Tax Credit,1,Financial Incentive,4,Federal
22474,True,US71F,Alternative Fuel Vehicle Refueling Property Tax Credit (Corporate),09/15/2023,08/18/2022,11,Federal,US,True,18,Corporate Tax Credit,1,Financial Incentive,4,Federal
22543,True,NC100F,Duke Energy - EV Charger Prep Credit Program,09/08/2023,09/07/2023,38,North Carolina,NC,False,88,Rebate Program,1,Financial Incentive,3,Utility
3192,False,NH32F,Residential Renewable Electrical Generation Rebate Program,09/08/2023,12/29/2008,34,New Hampshire,NH,False,88,Rebate Program,1,Financial Incentive,1,State
22541,True,MS40F,Mississippi Power Low-to-Moderate Income Residential Incentive Program,09/03/2023,09/03/2023,28,Mississippi,MS,False,88,Rebate Program,1,Financial Incentive,3,Utility
22542,True,MS41F,Entergy Mississippi Low-to-Moderate Income Residential Incentive Program,09/03/2023,09/03/2023,28,Mississippi,MS,False,88,Rebate Program,1,Financial Incentive,3,Utility
479,True,MA05R,Renewable Portfolio Standard,09/01/2023,01/01/2000,25,Massachusetts,MA,False,38,Renewables Portfolio Standard,2,Regulatory Policy,1,State
4688,False,WA20R,Energy Efficiency Resource Standard,08/30/2023,03/09/2011,55,Washington,WA,False,84,Energy Efficiency Resource Standard,2,Regulatory Policy,1,State
22447,True,NY100F,NYSERDA – Buildings of Excellence Early Design Support  (RFP 3925 – D),08/30/2023,06/11/2022,37,New York,NY,False,87,Grant Program,1,Financial Incentive,1,State
5786,True,VT14R,Renewable Energy Standard,08/29/2023,06/15/2015,52,Vermont,VT,False,38,Renewables Portfolio Standard,2,Regulatory Policy,1,State
734,True,US13F,Renewable Electricity Production Tax Credit (PTC),08/29/2023,03/11/2002,11,Federal,US,True,18,Corporate Tax Credit,1,Financial Incentive,4,Federal
658,True,US02F,Business Energy Investment Tax Credit (ITC),08/29/2023,03/15/2002,11,Federal,US,True,18,Corporate Tax Credit,1,Financial Incentive,4,Federal
365,True,ID06F,Clean Energy Project Bond Program,08/29/2023,04/29/2005,16,Idaho,ID,False,90,Bond Program,1,Financial Incentive,1,State
207,True,ID02F,Low-Interest Energy Loan Programs,08/28/2023,01/01/2000,16,Idaho,ID,False,89,Loan Program,1,Financial Incentive,1,State
22540,True,CT21R,Energy Storage Goal,08/28/2023,08/28/2023,8,Connecticut,CT,False,93,Energy Storage Target,2,Regulatory Policy,1,State
2997,True,HI27F,Farm and Aquaculture Alternative Energy Loan,08/25/2023,07/08/2008,15,Hawaii,HI,False,89,Loan Program,1,Financial Incentive,1,State
5131,True,CA249F,Energy Efficiency Financing for Public Sector Projects,08/25/2023,03/21/2012,6,California,CA,False,89,Loan Program,1,Financial Incentive,1,State
1583,False,VT05R,Vermont Appliance and Equipment Energy Efficiency Standards,08/24/2023,06/05/2006,52,Vermont,VT,False,62,Appliance/Equipment Efficiency Standards,2,Regulatory Policy,1,State
1582,True,RI10R,Rhode Island Appliance and Equipment Energy Efficiency Standards,08/24/2023,06/05/2006,46,Rhode Island,RI,False,62,Appliance/Equipment Efficiency Standards,2,Regulatory Policy,1,State
1579,False,OR19R,Oregon Appliance and Equipment Energy Efficiency Standards,08/24/2023,06/05/2006,42,Oregon,OR,False,62,Appliance/Equipment Efficiency Standards,2,Regulatory Policy,1,State
22539,True,ME20R,Maine Appliance and Equipment Energy Efficiency Standards,08/24/2023,08/24/2023,23,Maine,ME,False,62,Appliance/Equipment Efficiency Standards,2,Regulatory Policy,1,State
22285,True,CO52R,Colorado Appliance and Equipment Energy Efficiency Standards,08/24/2023,07/08/2021,7,Colorado,CO,False,62,Appliance/Equipment Efficiency Standards,2,Regulatory Policy,1,State
1562,False,CA48R,California Appliance and Equipment Energy Efficiency Standards,08/24/2023,06/01/2006,6,California,CA,False,62,Appliance/Equipment Efficiency Standards,2,Regulatory Policy,1,State
22286,True,HI19R,Hawaii Appliance and Equipment Energy Efficiency Standards,08/24/2023,07/08/2021,15,Hawaii,HI,False,62,Appliance/Equipment Efficiency Standards,2,Regulatory Policy,1,State
22168,True,ID69F,Electric Vehicle Supply Equipment (EVSE) Program,08/23/2023,05/27/2021,16,Idaho,ID,False,87,Grant Program,1,Financial Incentive,1,State
5905,True,CA87R,San Bernardino County - Solar Energy Development Standards,08/17/2023,09/06/2016,6,California,CA,False,67,Solar/Wind Permitting Standards,2,Regulatory Policy,2,Local
5904,True,CA86R,Los Angeles County - WECS-N and Temp Met Towers,08/17/2023,09/06/2016,6,California,CA,False,67,Solar/Wind Permitting Standards,2,Regulatory Policy,2,Local
5893,True,TX45R,City of San Antonio - Sec. 35-398. - Renewable Energy Systems,08/17/2023,08/30/2016,50,Texas,TX,False,67,Solar/Wind Permitting Standards,2,Regulatory Policy,2,Local
5924,True,FL34R,Broward County - Rooftop Solar System Permit Standard,08/17/2023,10/13/2016,12,Florida,FL,False,67,Solar/Wind Permitting Standards,2,Regulatory Policy,2,Local
5926,True,FL36R,Hillsborough County - Solar and Wind Standards,08/17/2023,10/18/2016,12,Florida,FL,False,67,Solar/Wind Permitting Standards,2,Regulatory Policy,2,Local
5927,True,FL37R,Miami-Dade County - Solar System Permitting,08/17/2023,10/20/2016,12,Florida,FL,False,67,Solar/Wind Permitting Standards,2,Regulatory Policy,2,Local
5931,True,AZ31R,Phoenix City - Municipal Code 232 Residential Solar PV System Permit,08/16/2023,10/25/2016,4,Arizona,AZ,False,67,Solar/Wind Permitting Standards,2,Regulatory Policy,2,Local
5933,True,AZ33R,Pima County - Solar & Wind Permitting Requirements,08/16/2023,10/27/2016,4,Arizona,AZ,False,67,Solar/Wind Permitting Standards,2,Regulatory Policy,2,Local
5936,True,WA23R,Seattle City - Solar Permit Requirements,08/16/2023,11/08/2016,55,Washington,WA,False,67,Solar/Wind Permitting Standards,2,Regulatory Policy,2,Local
5940,True,KS14R,Wichita City - Solar Permitting,08/16/2023,11/15/2016,20,Kansas,KS,False,67,Solar/Wind Permitting Standards,2,Regulatory Policy,2,Local
5941,True,NE10R,Omaha City - Wind Energy Conservation System Requirements,08/16/2023,11/15/2016,32,Nebraska,NE,False,67,Solar/Wind Permitting Standards,2,Regulatory Policy,2,Local
4913,False,AZ30R,Maricopa County - Renewable Energy Systems Zoning Ordinance,08/16/2023,07/14/2011,4,Arizona,AZ,False,67,Solar/Wind Permitting Standards,2,Regulatory Policy,2,Local
749,False,AZ14R,Maricopa Assn. of Governments - Solar Domestic Water Heating Permitting Standards,08/16/2023,05/31/2002,4,Arizona,AZ,False,67,Solar/Wind Permitting Standards,2,Regulatory Policy,2,Local
2950,False,AZ23R,Solar Construction Permitting Standards,08/16/2023,05/28/2008,4,Arizona,AZ,False,67,Solar/Wind Permitting Standards,2,Regulatory Policy,1,State
3766,False,ME13R,Model Wind Energy Facility Ordinance,08/16/2023,08/01/2009,23,Maine,ME,False,67,Solar/Wind Permitting Standards,2,Regulatory Policy,1,State
5548,False,NM20R,Solar/Wind Construction Permitting Standards,08/16/2023,09/16/2014,36,New Mexico,NM,False,67,Solar/Wind Permitting Standards,2,Regulatory Policy,1,State
22133,True,VA27R,Renewable Portfolio Standard,08/16/2023,08/06/2020,54,Virginia,VA,False,38,Renewables Portfolio Standard,2,Regulatory Policy,1,State
3371,False,NC22R,Hyde County - Wind Energy Facility Ordinance,08/15/2023,05/07/2009,38,North Carolina,NC,False,67,Solar/Wind Permitting Standards,2,Regulatory Policy,2,Local
2778,False,NC11R,Ashe County - Wind Energy System Ordinance,08/15/2023,10/31/2007,38,North Carolina,NC,False,67,Solar/Wind Permitting Standards,2,Regulatory Policy,2,Local
2860,False,NC17R,Town of Kill Devil Hills - Wind Energy Systems Ordinance,08/15/2023,02/04/2008,38,North Carolina,NC,False,67,Solar/Wind Permitting Standards,2,Regulatory Policy,2,Local
293,False,VA07R,Rockingham County - Small Wind Ordinance,08/15/2023,01/12/2005,54,Virginia,VA,False,67,Solar/Wind Permitting Standards,2,Regulatory Policy,2,Local
4892,True,OR28R,Solar Permitting Law,08/15/2023,06/29/2011,42,Oregon,OR,False,67,Solar/Wind Permitting Standards,2,Regulatory Policy,1,State
4453,True,OK06R,Requirements for Wind Development,08/15/2023,11/16/2010,41,Oklahoma,OK,False,67,Solar/Wind Permitting Standards,2,Regulatory Policy,1,State
1592,False,TX27F,Xcel Energy - Commercial and Industrial Standard Offer Program,08/11/2023,06/12/2006,50,Texas,TX,False,88,Rebate Program,1,Financial Incentive,3,Utility
1538,False,TX17F,Texas Gas Service - Commercial Energy Efficiency Rebate Program,08/11/2023,05/29/2006,50,Texas,TX,False,88,Rebate Program,1,Financial Incentive,3,Utility
3630,False,TX82F,New Braunfels Utilities - Energy Efficiency and Water Conservation Rebate Programs,08/11/2023,08/25/2009,50,Texas,TX,False,88,Rebate Program,1,Financial Incentive,3,Utility
5858,True,TX100F,Garland Power & Light - EnergySaver Solar Rebate Program,08/11/2023,02/08/2016,50,Texas,TX,False,88,Rebate Program,1,Financial Incentive,3,Utility
2091,False,TX48F,Farmers Electric Cooperative - Residential Energy Efficiency Rebate Program,08/11/2023,08/30/2006,50,Texas,TX,False,88,Rebate Program,1,Financial Incentive,3,Utility
2653,False,TX57F,Entergy Texas - Commercial Solutions Programs,08/11/2023,08/01/2007,50,Texas,TX,False,88,Rebate Program,1,Financial Incentive,3,Utility
2039,False,TX42F,Denton Municipal Electric - Residential GreenSense Energy Efficiency Rebate Program,08/11/2023,08/25/2006,50,Texas,TX,False,88,Rebate Program,1,Financial Incentive,3,Utility
3430,False,TX78F,Denton Municipal Electric - GreenSense Commercial Standard Offer Rebate Program,08/11/2023,06/10/2009,50,Texas,TX,False,88,Rebate Program,1,Financial Incentive,3,Utility
4789,False,TX129F,CPS Energy - New Residential Construction Incentives,08/11/2023,04/22/2011,50,Texas,TX,False,88,Rebate Program,1,Financial Incentive,3,Utility
3833,False,TX99F,CenterPoint Energy - SCORE and CitySmart Program,08/11/2023,12/14/2009,50,Texas,TX,False,88,Rebate Program,1,Financial Incentive,3,Utility
5411,False,TX149F,Bryan Texas Utilities - SmartHOME Residential Energy Efficiency Rebate Program,08/11/2023,05/07/2013,50,Texas,TX,False,88,Rebate Program,1,Financial Incentive,3,Utility
2631,False,TX50F,Bryan Texas Utilities - SmartBUSINESS Commercial Energy Efficiency Rebate Program,08/11/2023,07/16/2007,50,Texas,TX,False,88,Rebate Program,1,Financial Incentive,3,Utility
5254,False,TX146F,Brownsville Public Utilities Board - Residential/Small Commercial Rebate Program,08/11/2023,08/02/2012,50,Texas,TX,False,88,Rebate Program,1,Financial Incentive,3,Utility
5170,False,TX141F,"AEP (Central, SWEPCO and North) - SCORE Program for Schools",08/11/2023,12/14/2009,50,Texas,TX,False,88,Rebate Program,1,Financial Incentive,3,Utility
3831,False,TX97F,"AEP (Central, SWEPCO and North) - Commercial Solutions Program",08/11/2023,12/14/2009,50,Texas,TX,False,88,Rebate Program,1,Financial Incentive,3,Utility
4594,False,TX119F,AEP (Central and SWEPCO) - Coolsaver A/C Tune Up or Replacement,08/11/2023,12/14/2009,50,Texas,TX,False,88,Rebate Program,1,Financial Incentive,3,Utility
5171,False,TX142F,AEP (Central) - CitySmart Program,08/11/2023,12/14/2009,50,Texas,TX,False,88,Rebate Program,1,Financial Incentive,3,Utility
2183,False,OR70F,Springfield Utility Board - Commercial Energy Efficiency Rebate Program,08/11/2023,09/15/2006,42,Oregon,OR,False,88,Rebate Program,1,Financial Incentive,3,Utility
2475,False,OR95F,"Consumers Power, Inc - Residential Energy Efficiency Rebate Program",08/11/2023,04/04/2007,42,Oregon,OR,False,88,Rebate Program,1,Financial Incentive,3,Utility
1128,False,OR28F,Ashland Electric Utility - Residential Energy Efficiency Rebate Programs,08/11/2023,08/24/2006,42,Oregon,OR,False,88,Rebate Program,1,Financial Incentive,3,Utility
22430,True,OR100F,Ashland Electric Utility - New Construction Residential Energy Efficiency Rebate Program,08/11/2023,06/01/2022,42,Oregon,OR,False,88,Rebate Program,1,Financial Incentive,3,Utility
1465,False,NJ15F,South Jersey Gas - Residential Loan Program,08/11/2023,05/07/2006,35,New Jersey,NJ,False,89,Loan Program,1,Financial Incentive,3,Utility
2615,False,NJ19F,South Jersey Gas - Residential Energy Efficiency Rebate Program,08/11/2023,06/25/2007,35,New Jersey,NJ,False,88,Rebate Program,1,Financial Incentive,3,Utility
4982,False,NJ46F,PSE&G - Government and Non-Profit Facility Direct Install Efficiency Program,08/11/2023,01/15/2010,35,New Jersey,NJ,False,87,Grant Program,1,Financial Incentive,3,Utility
5728,True,NJ58F,New Jersey Natural Gas- SAVEGREEN Commercial On-Bill Financing Program,08/11/2023,04/06/2015,35,New Jersey,NJ,False,89,Loan Program,1,Financial Incentive,3,Utility
3754,False,LA16F,Entergy New Orleans - Small and Large Commercial and Industrial Incentives Program,08/11/2023,11/09/2009,22,Louisiana,LA,False,88,Rebate Program,1,Financial Incentive,3,Utility
4378,False,MA108F,MMWEC Green Opportunity Commercial and Industrial Efficiency Program,08/11/2023,10/08/2010,25,Massachusetts,MA,False,88,Rebate Program,1,Financial Incentive,3,Utility
5831,True,LA29F,Cleco- Power Wise™ Residential Program,08/11/2023,10/22/2015,22,Louisiana,LA,False,88,Rebate Program,1,Financial Incentive,3,Utility
5832,True,LA30F,Cleco- Power Wise™ Commercial Program,08/11/2023,10/22/2015,22,Louisiana,LA,False,88,Rebate Program,1,Financial Incentive,3,Utility
1471,False,LA09F,Cleco Power - Power Miser New Home Program,08/11/2023,05/08/2006,22,Louisiana,LA,False,63,Utility Rate Discount,1,Financial Incentive,3,Utility
1926,False,CA127F,Turlock Irrigation District - Residential Energy Efficiency Rebate Program,08/11/2023,08/03/2006,6,California,CA,False,88,Rebate Program,1,Financial Incentive,3,Utility
22071,True,CA100F,Turlock Irrigation District - Commercial Energy Efficiency Rebate Program,08/11/2023,03/21/2019,6,California,CA,False,88,Rebate Program,1,Financial Incentive,3,Utility
1925,False,CA126F,Truckee Donner Public Utility District - Energy Conservation Rebate Program,08/11/2023,08/03/2006,6,California,CA,False,88,Rebate Program,1,Financial Incentive,3,Utility
4952,False,CA241F,SoCalGas - Custom Non-Residential Energy Efficiency Program,08/11/2023,05/03/2006,6,California,CA,False,88,Rebate Program,1,Financial Incentive,3,Utility
4730,False,IL72F,MidAmerican Energy - Illinois Business Programs and Rebates,08/11/2023,02/09/2009,17,Illinois,IL,False,88,Rebate Program,1,Financial Incentive,3,Utility
5823,True,LA28F,AEP (SWEPCO) - Louisiana Commercial Solutions Standard Offer Program,08/11/2023,09/29/2015,22,Louisiana,LA,False,88,Rebate Program,1,Financial Incentive,3,Utility
5822,True,LA27F,AEP (SWEPCO) - Efficient Products Rebates Program,08/11/2023,09/28/2015,22,Louisiana,LA,False,88,Rebate Program,1,Financial Incentive,3,Utility
3235,False,IL34F,Peoples Gas - Commercial & Industrial Prescriptive Rebate Program,08/11/2023,01/28/2009,17,Illinois,IL,False,88,Rebate Program,1,Financial Incentive,3,Utility
4197,False,IL64F,North Shore Gas - Commercial & Industrial Prescriptive Rebate Program,08/11/2023,06/08/2010,17,Illinois,IL,False,88,Rebate Program,1,Financial Incentive,3,Utility
22068,True,CA100F,Silicon Valley Power - Emerging Technologies Grant Program,08/11/2023,02/27/2019,6,California,CA,False,87,Grant Program,1,Financial Incentive,3,Utility
1896,False,CA113F,Riverside Public Utilities - Residential Energy Efficiency Rebate Program,08/11/2023,07/31/2006,6,California,CA,False,88,Rebate Program,1,Financial Incentive,3,Utility
4257,False,CA218F,PG&E - Multifamily Residential Energy Savings Rebate Program,08/11/2023,07/16/2010,6,California,CA,False,88,Rebate Program,1,Financial Incentive,3,Utility
1889,False,CA110F,Pasadena Water and Power - Residential Energy Efficiency Rebate Program,08/11/2023,07/28/2006,6,California,CA,False,88,Rebate Program,1,Financial Incentive,3,Utility
3895,False,NC24R,Carteret County - Wind Energy System Ordinance,08/11/2023,01/11/2010,38,North Carolina,NC,False,67,Solar/Wind Permitting Standards,2,Regulatory Policy,1,State
3260,False,CA185F,Pasadena Water and Power - Commercial Energy Efficiency Rebate Program,08/11/2023,02/11/2009,6,California,CA,False,88,Rebate Program,1,Financial Incentive,3,Utility
3325,False,CA187F,Pacific Power - Residential Energy Efficiency Rebate Programs,08/11/2023,04/01/2009,6,California,CA,False,88,Rebate Program,1,Financial Incentive,3,Utility
4432,False,OR27R,City of Portland - Streamlined Building Permits for Residential Solar Systems,08/11/2023,09/01/2009,42,Oregon,OR,False,67,Solar/Wind Permitting Standards,2,Regulatory Policy,2,Local
1882,False,CA107F,Modesto Irrigation District - Residential Energy Efficiency Rebate Program,08/11/2023,07/28/2006,6,California,CA,False,88,Rebate Program,1,Financial Incentive,3,Utility
5839,True,IL23R,City of Chicago - Solar Express Permit Program,08/11/2023,12/03/2015,17,Illinois,IL,False,67,Solar/Wind Permitting Standards,2,Regulatory Policy,2,Local
1885,False,CA108F,Modesto Irrigation District - Commercial Energy Efficiency Rebate Program,08/11/2023,07/28/2006,6,California,CA,False,88,Rebate Program,1,Financial Incentive,3,Utility
1867,False,CA105F,LADWP - Residential Energy Efficiency Rebate Program,08/11/2023,07/27/2006,6,California,CA,False,88,Rebate Program,1,Financial Incentive,3,Utility
4373,True,WY04R,Wind Energy Permitting Standards,08/11/2023,10/05/2010,58,Wyoming,WY,False,67,Solar/Wind Permitting Standards,2,Regulatory Policy,1,State
1866,False,CA104F,LADWP - Non-Residential Energy Efficiency Incentive Program,08/11/2023,07/27/2006,6,California,CA,False,88,Rebate Program,1,Financial Incentive,3,Utility
3234,True,OR25R,Model Ordinance for Renewable Energy Projects,08/11/2023,01/07/2005,42,Oregon,OR,False,67,Solar/Wind Permitting Standards,2,Regulatory Policy,1,State
5421,True,NC27R,Wind Energy Permitting Standards,08/11/2023,06/18/2013,38,North Carolina,NC,False,67,Solar/Wind Permitting Standards,2,Regulatory Policy,1,State
3051,False,NC18R,Model Wind Ordinance,08/11/2023,08/28/2008,38,North Carolina,NC,False,67,Solar/Wind Permitting Standards,2,Regulatory Policy,1,State
2781,False,NC12R,Watauga County - Wind Energy System Ordinance,08/11/2023,11/01/2007,38,North Carolina,NC,False,67,Solar/Wind Permitting Standards,2,Regulatory Policy,2,Local
5445,True,NC28R,Template Solar Energy Development Ordinance,08/11/2023,01/09/2014,38,North Carolina,NC,False,67,Solar/Wind Permitting Standards,2,Regulatory Policy,1,State
4076,False,NC25R,Pitt County - Wind Energy Systems Ordinance,08/11/2023,04/08/2010,38,North Carolina,NC,False,67,Solar/Wind Permitting Standards,2,Regulatory Policy,2,Local
3503,True,DE14R,Wind Access and Permitting Law,08/11/2023,07/10/2009,9,Delaware,DE,False,67,Solar/Wind Permitting Standards,2,Regulatory Policy,1,State
701,False,NY10F,"NY-Sun PV Incentive Program (Residential, Low-Income, and Small Business)",08/11/2023,11/18/2002,37,New York,NY,False,88,Rebate Program,1,Financial Incentive,1,State
22191,True,MA100F,MOR-EV Trucks Program,08/10/2023,06/05/2021,25,Massachusetts,MA,False,88,Rebate Program,1,Financial Incentive,1,State
193,False,MD04R,Fuel Mix and Emissions Disclosure,08/10/2023,09/14/2001,24,Maryland,MD,False,25,Generation Disclosure,2,Regulatory Policy,1,State
187,False,OR11R,Fuel Mix and Emissions Disclosure,08/10/2023,09/13/2001,42,Oregon,OR,False,25,Generation Disclosure,2,Regulatory Policy,1,State
487,True,IL02R,Fuel Mix and Emissions Disclosure,08/10/2023,01/01/2000,17,Illinois,IL,False,25,Generation Disclosure,2,Regulatory Policy,1,State
654,False,NY04R,Environmental Disclosure Program,08/10/2023,12/03/2001,37,New York,NY,False,25,Generation Disclosure,2,Regulatory Policy,1,State
562,True,MI01R,Fuel Mix and Emissions Disclosure,08/10/2023,05/06/2001,26,Michigan,MI,False,25,Generation Disclosure,2,Regulatory Policy,1,State
447,False,CA01R,Fuel Mix Disclosure,08/10/2023,01/01/2000,6,California,CA,False,25,Generation Disclosure,2,Regulatory Policy,1,State
451,False,NV02R,Fuel Mix and Emissions Disclosure,08/10/2023,01/01/2000,33,Nevada,NV,False,25,Generation Disclosure,2,Regulatory Policy,1,State
4678,True,HI16R,Fuel Mix Disclosure,08/10/2023,03/04/2011,15,Hawaii,HI,False,25,Generation Disclosure,2,Regulatory Policy,1,State
565,False,NJ06R,Environmental Information Disclosure,08/10/2023,05/07/2001,35,New Jersey,NJ,False,25,Generation Disclosure,2,Regulatory Policy,1,State
22190,True,MA100F,MOR-EV,08/10/2023,06/05/2021,25,Massachusetts,MA,False,88,Rebate Program,1,Financial Incentive,1,State
652,True,DE03R,Fuel Mix Disclosure,08/09/2023,12/03/2001,9,Delaware,DE,False,25,Generation Disclosure,2,Regulatory Policy,1,State
239,True,CT05R,Fuel Mix and Emissions Disclosure,08/09/2023,01/01/2001,8,Connecticut,CT,False,25,Generation Disclosure,2,Regulatory Policy,1,State
650,False,CO17R,Fuel Mix Disclosure,08/09/2023,11/30/2001,7,Colorado,CO,False,25,Generation Disclosure,2,Regulatory Policy,1,State
15,True,TX01R,Fuel Mix and Emissions Disclosure,08/09/2023,01/08/2001,50,Texas,TX,False,25,Generation Disclosure,2,Regulatory Policy,1,State
87,False,WA04R,Fuel Mix and Emissions Disclosure,08/09/2023,01/01/2000,55,Washington,WA,False,25,Generation Disclosure,2,Regulatory Policy,1,State
533,False,FL09R,Fuel Mix Disclosure,08/09/2023,03/12/2001,12,Florida,FL,False,25,Generation Disclosure,2,Regulatory Policy,1,State
224,True,OH05R,Fuel Mix and Emissions Disclosure,08/09/2023,09/14/2001,40,Ohio,OH,False,25,Generation Disclosure,2,Regulatory Policy,1,State
1254,False,RI09R,Fuel Mix and Emissions Disclosure,08/09/2023,12/06/2005,46,Rhode Island,RI,False,25,Generation Disclosure,2,Regulatory Policy,1,State
68,False,PA02R,Fuel Mix Disclosure,08/09/2023,01/01/2000,44,Pennsylvania,PA,False,25,Generation Disclosure,2,Regulatory Policy,1,State
653,False,MN08R,Fuel Mix and Emissions Disclosure,08/09/2023,12/03/2001,27,Minnesota,MN,False,25,Generation Disclosure,2,Regulatory Policy,1,State
330,True,IA06R,Fuel Mix and Emissions Disclosure,08/09/2023,02/14/2005,19,Iowa,IA,False,25,Generation Disclosure,2,Regulatory Policy,1,State
655,False,VA05R,Fuel Mix and Emissions Disclosure,08/09/2023,12/03/2001,54,Virginia,VA,False,25,Generation Disclosure,2,Regulatory Policy,1,State
651,False,DC02R,Fuel Mix and Emissions Disclosure,08/09/2023,11/30/2001,10,District of Columbia,DC,True,25,Generation Disclosure,2,Regulatory Policy,1,State
480,False,MA06R,Fuel Mix and Emissions Disclosure,08/09/2023,01/01/2000,25,Massachusetts,MA,False,25,Generation Disclosure,2,Regulatory Policy,1,State
446,False,NH03R,Fuel Mix and Environmental Characteristics Disclosure,08/09/2023,01/01/2000,34,New Hampshire,NH,False,25,Generation Disclosure,2,Regulatory Policy,1,State
450,False,ME06R,Fuel Mix and Emissions Disclosure,08/09/2023,01/01/2000,23,Maine,ME,False,25,Generation Disclosure,2,Regulatory Policy,1,State
1616,False,US02R,Energy and Emissions Goals and Standards for Federal Government,08/09/2023,06/19/2006,11,Federal,US,True,64,Energy Standards for Public Buildings,2,Regulatory Policy,4,Federal
